Reference;Number of studies in the publication that fulfills the eligibility criteria;Substance;No email for corresponding author in publication/ Email for corresponding author no longer working;No answer;Answer;Included/ excluded
Chi-Moreno (2005);1;"
Guar gum";;;x;Include
Hung (2022);1;Carboxymethyl cellulose;;;x;Include
Mariotti (2001);1;Guar gum;;;x;Include
Wanders (2013) ;2;"Guar gum; Sodium alginate";;;x;Include
Hoad (2004);2;"Guar gum; Sodium alginate
";;;x;Include
Shang (2017);1;"
Carrageenan";;;x;Exclude
Wei (2016);1;"
Carrageenan";;;x;Exclude
Wu (2016);1;"
Carrageenan";;;x;Exclude
Wu (2022);1;"
Carrageenan";;;x;Exclude
Gibson (1999);1;"
Guar gum";;;x;Exclude
Naito (2006);1;"
Guar gum";;;x;Exclude
Owusu-Asiedu (2006);1;"
Guar gum";;;x;Exclude
Wong (2003);1;"
Guar gum";;;x;Exclude
Seal (2001);2;"
Guar gum; Sodium alginate
";;;x;Exclude
Knapp (2008);1;"
Xanthan gum";;;x;Exclude
Ostrowski (2022);1;"
Xanthan gum";;;x;Exclude
Harusato (2022);1;Carboxymethyl cellulose;;;x;Exclude
Hooda (2010);2;Carboxymethyl cellulose;;;x;Exclude
Hooda (2011);1;Carboxymethyl cellulose;;;x;Exclude
Metzler-Zebeli (2010b);1;Carboxymethyl cellulose;;;x;Exclude
Swidsinski (2009);1;Carboxymethyl cellulose;;;x;Exclude
Viennois (2020);1;Carboxymethyl cellulose;;;x;Exclude
Bhattacharyya (2013);1;Carrageenan;;;x;Exclude
Bhattacharyya (2014a);1;Carrageenan;;;x;Exclude
Bhattacharyya et al. (2014b);1;Carrageenan;;;x;Exclude
Bhattacharyya (2017);1;Carrageenan;;;x;Exclude
Tkachenko (2018);1;Carrageenan;;;x;Exclude
Tsukahara (2002);1;Guar gum;;;x;Exclude
Tuohy (2001);1;Guar gum;;;x;Exclude
Van Nevel (2005);1;Guar gum;;;x;Exclude
Wang (2012);1;Guar gum;;;x;Exclude
Wise (1986);1;"
Carboxymethyl cellulose; Carrageenan
";x;;;
Wyatt (1988);2;"
Carboxymethyl cellulose; Guar gum
";x;;;
Corpet (1997);1;"
Carrageenan";x;;;
Elsenhans (1981);1;"
Carrageenan";x;;;
